,Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
46,184,21.0,1.057,1.012,5.9,52.52,8.39,32.0,60,1.037,70.0,3.4,Specific Gravity,All Grain,0.5,16.0,American Pale Ale
47,187,22.0,1.043,1.008,4.53,56.03,5.01,25.5,60,1.037,70.0,2.7,Specific Gravity,All Grain,0.35,19.0,American IPA
48,197,28.0,1.053,1.013,5.22,70.01,9.43,28.5,60,1.052,62.3,3.4,Specific Gravity,All Grain,0.75,20.0,American IPA
49,200,11.92,1.065,1.021,5.73,48.89,8.64,14.2,60,1.055,75.0,1.5,Specific Gravity,All Grain,0.35,22.22,American IPA
50,202,18.93,1.065,1.016,6.35,87.09,8.22,24.61,90,1.05,70.0,1.4,Specific Gravity,All Grain,0.5,21.0,American IPA
51,213,18.93,1.07,1.021,6.38,80.0,50.0,24.98,90,1.053,72.5,1.25,Specific Gravity,All Grain,0.75,23.89,American Stout
52,215,18.93,1.065,1.016,6.37,79.33,15.08,18.93,60,1.06,30.0,1.2,Specific Gravity,All Grain,0.5,20.0,American Amber Ale
53,221,20.82,1.052,1.013,5.08,272.27,10.43,28.39,60,1.038,35.0,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
54,223,22.71,1.06,1.011,6.43,34.04,16.51,30.28,60,1.045,70.0,1.5,Specific Gravity,All Grain,0.75,19.44,American Brown Ale
55,226,26.0,1.046,1.012,4.53,49.54,4.74,30.0,60,1.04,85.0,3.2,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
56,239,41.64,1.068,1.013,7.18,51.32,8.96,47.32,60,1.0590000000000002,72.0,1.5,Specific Gravity,All Grain,0.75,23.89,American IPA
57,243,20.82,1.0659999999999998,1.015,6.61,82.59,7.84,28.39,60,1.048,70.0,1.25,Specific Gravity,All Grain,0.75,18.89,American IPA
58,246,21.0,1.056,1.014,5.59,33.06,16.22,23.0,60,1.051,74.0,1.5,Specific Gravity,All Grain,1.25,21.0,American Amber Ale
59,255,20.82,1.001,1.0,0.08,0.0,0.41,28.39,60,1.001,70.0,1.33,Specific Gravity,All Grain,0.35,18.89,American IPA
60,258,20.82,1.0590000000000002,1.014,5.88,28.43,6.74,24.61,60,1.05,75.0,1.5,Specific Gravity,All Grain,1.0,20.0,American IPA
61,270,22.0,1.054,1.014,5.35,35.77,7.94,28.5,90,1.042,75.0,3.0,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
62,278,50.0,1.064,1.014,6.5,49.68,5.75,57.0,90,1.056,84.0,5.0,Specific Gravity,All Grain,1.0,20.0,American IPA
63,283,23.5,1.046,1.01,4.69,10.29,2.88,36.0,85,1.03,72.0,4.0,Specific Gravity,All Grain,0.5,22.0,Blonde Ale
64,290,30.28,1.0490000000000002,1.008,5.39,19.79,3.2,34.07,60,1.043,78.0,1.5,Specific Gravity,All Grain,0.75,32.22,American Pale Ale
65,293,20.0,1.046,1.012,4.5,15.39,3.69,27.0,84,1.034,70.0,2.8,Specific Gravity,All Grain,0.35,20.0,Witbier
66,296,20.0,1.06,1.011,6.44,65.38,6.81,27.0,60,1.044,65.0,3.5,Specific Gravity,All Grain,0.5,19.0,American IPA
67,305,25.0,1.048,1.012,4.76,26.07,4.13,25.0,60,1.048,75.0,5.0,Specific Gravity,All Grain,0.5,22.0,American Pale Ale
68,306,20.82,1.053,1.013,5.27,29.38,5.1,28.39,60,1.039,75.0,1.25,Specific Gravity,All Grain,0.35,15.56,Blonde Ale
69,307,41.64,1.05,1.01,5.28,48.66,5.5,45.42,60,1.046,81.0,1.5,Specific Gravity,All Grain,0.75,-8.33,American Light Lager
70,309,37.85,1.073,1.017,7.25,93.88,6.08,43.53,60,1.063,70.0,1.25,Specific Gravity,All Grain,0.5,20.0,American IPA
71,314,26.5,1.072,1.017,7.24,8.03,5.68,32.18,60,1.0590000000000002,60.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Light Lager
72,315,18.93,1.07,1.013,7.44,66.16,6.56,26.5,60,1.05,70.0,1.3,Specific Gravity,All Grain,0.35,17.78,American IPA
73,319,40.0,1.051,1.013,5.03,55.81,5.01,52.0,80,1.039,70.0,5.8,Specific Gravity,All Grain,0.75,16.0,American Pale Ale
74,322,19.87,1.054,1.01,5.73,35.62,11.26,27.44,60,1.039,63.0,1.5,Specific Gravity,All Grain,0.35,21.11,American Amber Ale
75,334,20.82,1.053,1.013,5.23,22.69,4.66,28.69,60,1.033,60.0,1.5,Specific Gravity,All Grain,0.35,22.22,Blonde Ale
76,337,27.0,1.06,1.016,5.69,47.16,4.68,30.0,60,1.054,88.0,3.0,Specific Gravity,All Grain,0.75,19.0,American IPA
77,339,18.93,1.07,1.02,6.5,45.03,10.21,25.55,90,1.051,70.0,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
78,340,18.0,1.062,1.015,6.16,37.11,3.01,25.0,90,1.045,75.0,3.0,Specific Gravity,All Grain,0.75,19.0,American IPA
79,345,60.0,1.041,1.01,4.05,29.3,5.75,80.0,60,1.031,70.0,3.0,Specific Gravity,All Grain,0.5,18.0,American Pale Ale
80,357,21.58,1.055,1.01,5.94,37.46,9.01,30.28,80,1.039,70.0,1.3,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
81,359,20.82,1.052,1.012,5.23,15.49,5.1,28.39,60,1.038,70.0,1.5,Specific Gravity,All Grain,1.0,20.0,Blonde Ale
82,361,20.82,1.064,1.016,6.33,58.21,15.35,26.5,90,1.051,75.0,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
83,363,20.82,1.088,1.02,8.95,154.68,5.61,26.5,90,1.069,70.0,1.25,Specific Gravity,All Grain,1.25,22.22,Imperial IPA
84,364,20.82,1.065,1.015,6.54,42.79,5.41,28.39,70,1.047,80.0,1.33,Specific Gravity,All Grain,1.0,16.67,American IPA
85,376,22.71,1.056,1.007,6.45,31.91,3.59,26.5,60,1.048,75.0,1.5,Specific Gravity,All Grain,1.0,23.89,Saison
86,388,20.82,1.061,1.014,6.27,53.21,9.52,28.39,90,1.045,70.0,1.25,Specific Gravity,All Grain,0.75,20.0,American IPA
87,393,22.0,1.072,1.015,7.51,101.93,7.87,27.0,75,1.0590000000000002,70.0,3.0,Specific Gravity,All Grain,0.5,20.0,Imperial IPA
88,401,3.79,1.054,1.011,5.63,27.25,16.14,4.73,60,1.043,75.0,1.5,Specific Gravity,All Grain,0.5,15.56,Irish Red Ale
89,402,431.54,1.056,1.013,5.58,45.02,9.27,469.39,60,1.051,75.0,1.5,Specific Gravity,All Grain,1.0,20.0,American Pale Ale
90,406,13.25,1.046,1.009,4.83,4.92,3.17,11.36,60,1.054,75.0,1.5,Specific Gravity,All Grain,0.35,20.56,American Light Lager
91,411,60.0,1.045,1.01,4.56,25.8,11.1,80.0,60,1.033,67.0,3.0,Specific Gravity,All Grain,0.75,18.0,Irish Red Ale
92,413,20.82,1.054,1.012,5.42,40.69,4.88,26.5,60,1.042,70.0,1.44,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
93,415,94.64,1.067,1.015,6.89,14.53,4.33,132.49,60,1.048,72.0,1.5,Specific Gravity,All Grain,0.5,18.89,Witbier
94,418,18.93,1.068,1.017,6.76,87.14,4.79,25.36,60,1.051,67.0,1.25,Specific Gravity,All Grain,0.75,18.89,American IPA
95,419,19.99,1.07,1.013,7.51,155.26,6.33,24.98,60,1.056,70.0,1.5,Specific Gravity,All Grain,0.75,19.44,American IPA
96,422,21.77,1.045,1.01,4.58,16.06,4.02,27.44,60,1.036,75.0,1.5,Specific Gravity,All Grain,1.5,21.11,Witbier
97,424,13.2,1.06,1.011,6.41,68.27,5.49,19.0,90,1.041,65.0,4.0,Specific Gravity,All Grain,0.75,19.0,American IPA
98,426,20.82,1.072,1.017,7.23,64.45,16.47,24.61,90,1.061,70.0,1.5,Specific Gravity,All Grain,1.25,19.44,American Amber Ale
99,427,21.0,1.041,1.008,4.37,34.77,6.47,28.5,60,1.03,55.0,3.0,Specific Gravity,All Grain,1.0,19.0,American Pale Ale
100,430,20.82,1.058,1.007,6.71,35.88,50.0,28.39,60,1.043,70.0,1.25,Specific Gravity,All Grain,0.5,21.11,American Stout
101,433,20.82,1.063,1.013,6.57,64.04,9.45,26.5,75,1.0490000000000002,70.0,1.5,Specific Gravity,All Grain,0.75,20.0,American IPA
102,449,62.46,1.064,1.013,6.7,63.68,6.14,71.92,60,1.055,75.0,1.3,Specific Gravity,All Grain,0.75,18.89,American IPA
103,450,21.0,1.074,1.021,6.89,109.12,17.25,35.0,90,1.044,65.0,3.0,Specific Gravity,All Grain,1.0,18.0,American IPA
104,451,47.0,1.0590000000000002,1.014,5.96,25.41,4.91,50.0,60,1.056,75.0,3.0,Specific Gravity,All Grain,0.35,20.0,American Pale Ale
105,457,20.82,1.063,1.012,6.62,70.78,5.01,30.28,90,1.043,67.0,1.5,Specific Gravity,All Grain,0.5,20.0,American IPA
106,466,11.36,1.051,1.01,5.4,21.03,5.2,15.14,60,1.038,70.0,1.5,Specific Gravity,All Grain,0.35,23.89,Blonde Ale
107,469,24.0,1.048,1.008,5.23,41.05,5.24,28.5,70,1.04,74.0,2.5,Specific Gravity,All Grain,0.75,18.0,American Pale Ale
108,471,23.0,1.058,1.011,6.13,50.77,7.6,28.0,60,1.047,75.0,3.0,Specific Gravity,All Grain,0.5,20.0,American IPA
109,473,20.82,1.069,1.014,7.23,63.67,30.23,28.39,60,1.051,75.0,1.5,Specific Gravity,All Grain,0.75,20.0,American IPA
110,476,21.0,1.05,1.011,5.16,31.47,13.65,24.0,60,1.044,68.0,2.5,Specific Gravity,All Grain,0.75,20.0,American Amber Ale
111,479,28.39,1.053,1.011,5.49,47.56,5.1,38.42,60,1.039,72.0,1.3,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
112,482,12.0,1.052,1.012,5.25,39.1,13.62,16.0,60,1.039,65.0,4.0,Specific Gravity,All Grain,0.5,22.0,American Pale Ale
113,484,26.0,1.052,1.01,5.59,32.01,6.9,28.5,90,1.048,74.0,3.0,Specific Gravity,All Grain,0.35,18.0,Saison
114,486,94.64,1.085,1.018,8.79,164.54,12.48,113.56,60,1.071,80.0,1.2,Specific Gravity,All Grain,1.25,20.0,American IPA
115,488,11.36,1.052,1.009,5.6,29.81,3.8,15.14,60,1.039,65.0,1.25,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
116,495,20.82,1.057,1.017,5.24,17.02,17.63,26.5,60,1.045,75.0,1.5,Specific Gravity,All Grain,0.5,19.44,Irish Red Ale
117,505,46.0,19.5469,4.44596,8.33,62.92,13.28,55.0,90,16.5,70.0,2.1,Plato,All Grain,1.25,20.0,American Amber Ale
118,512,85.0,1.05,1.01,5.34,50.41,9.58,95.0,60,1.045,59.0,2.5,Specific Gravity,All Grain,0.35,18.0,Irish Red Ale
119,514,20.82,1.057,1.012,5.97,41.83,5.29,28.39,60,1.042,69.0,1.6,Specific Gravity,All Grain,0.75,20.56,American Pale Ale
120,519,22.71,1.0490000000000002,1.009,5.19,35.88,11.08,32.18,90,1.035,75.0,1.5,Specific Gravity,All Grain,1.0,15.56,American Pale Ale
121,521,25.0,1.054,1.012,5.57,25.9,7.79,27.0,90,1.05,70.0,3.1,Specific Gravity,All Grain,1.0,21.0,American Pale Ale
122,526,20.82,1.062,1.014,6.37,18.48,4.42,30.28,90,1.043,77.0,1.5,Specific Gravity,All Grain,0.35,22.78,Saison
123,528,22.0,1.065,1.016,6.36,36.42,5.75,29.4,30,1.048,75.0,3.3,Specific Gravity,All Grain,0.35,19.0,American IPA
124,538,20.82,1.062,1.016,6.01,41.99,5.23,26.5,60,1.0490000000000002,49.0,1.5,Specific Gravity,All Grain,0.75,17.22,Blonde Ale
125,544,21.77,1.0759999999999998,1.014,8.09,107.72,10.22,32.18,60,1.0490000000000002,63.0,1.1,Specific Gravity,All Grain,1.0,20.0,Imperial IPA
126,545,39.75,1.055,1.015,5.18,36.35,6.91,47.32,90,1.046,60.0,1.3,Specific Gravity,All Grain,1.0,21.11,Saison
127,550,20.82,1.019,1.005,1.86,32.4,4.58,28.39,60,1.014,35.0,1.5,Specific Gravity,All Grain,0.35,22.22,American Pale Ale
128,553,64.35,1.054,1.014,5.26,84.31,12.02,77.6,60,1.044,68.0,1.5,Specific Gravity,All Grain,1.0,18.33,American IPA
129,555,20.82,1.047,1.011,4.69,81.51,11.47,20.82,60,1.047,50.0,1.5,Specific Gravity,All Grain,0.5,21.11,American IPA
130,559,21.0,1.05,1.011,5.16,22.33,3.11,24.0,60,1.044,70.0,3.0,Specific Gravity,All Grain,0.35,21.0,American Light Lager
131,563,45.42,1.045,1.009,4.67,31.68,3.01,56.78,60,1.036,72.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Pale Ale
132,569,18.93,1.043,1.011,4.23,10.16,3.55,24.61,60,1.033,65.0,3.0,Specific Gravity,All Grain,0.75,21.11,Witbier
133,570,35.96,1.048,1.012,4.79,10.09,19.92,41.64,60,1.042,88.0,1.5,Specific Gravity,All Grain,0.35,18.33,American Brown Ale
134,571,22.71,1.095,1.018,10.0,77.47,12.08,34.07,75,1.063,75.0,1.5,Specific Gravity,All Grain,0.75,18.33,Imperial IPA
135,572,2000.0,1.048,1.008,5.22,66.66,2.53,2075.0,60,1.046,82.0,3.0,Specific Gravity,All Grain,0.35,18.0,American Pale Ale
136,573,20.82,1.053,1.01,5.57,41.69,5.53,28.39,60,1.039,50.0,1.5,Specific Gravity,All Grain,0.75,20.0,American IPA
137,578,37.85,1.051,1.016,4.56,23.55,12.04,41.64,60,1.046,70.0,1.5,Specific Gravity,All Grain,1.5,11.11,American Light Lager
138,585,25.0,1.065,1.011,7.05,53.35,10.2,33.0,60,1.0490000000000002,75.0,3.0,Specific Gravity,All Grain,1.0,19.8,American IPA
139,590,18.93,1.062,1.016,6.05,113.73,7.74,26.5,60,1.045,75.0,1.25,Specific Gravity,All Grain,0.5,20.0,American IPA
140,605,30.0,17.4085,4.34571,7.15,84.3,5.72,43.7,90,12.2,65.0,2.3,Plato,All Grain,0.75,18.0,American IPA
141,608,23.0,1.062,1.012,6.55,57.21,8.09,29.0,75,1.0490000000000002,71.0,2.0,Specific Gravity,All Grain,1.0,18.0,American IPA
142,614,20.82,1.052,1.011,5.27,36.61,9.28,28.39,60,1.038,60.0,1.0,Specific Gravity,All Grain,1.0,21.11,American Pale Ale
143,618,20.0,1.073,1.024,6.4,62.53,6.59,24.0,60,1.058,60.0,3.0,Specific Gravity,All Grain,1.0,18.0,American IPA
144,620,36.0,1.065,1.018,6.1,99.46,13.25,48.0,90,1.048,35.0,2.0,Specific Gravity,All Grain,0.35,18.0,American IPA
145,627,7.57,1.062,1.02,5.51,78.67,3.94,7.57,60,1.062,75.0,2.0,Specific Gravity,All Grain,0.5,18.89,American Pale Ale
146,645,20.82,1.063,1.016,6.26,23.95,5.05,27.25,60,1.048,82.0,1.5,Specific Gravity,All Grain,0.5,21.11,American Pale Ale
147,648,18.93,1.052,1.013,5.02,23.3,4.67,24.61,90,1.04,75.0,1.5,Specific Gravity,All Grain,0.75,18.33,Blonde Ale
148,649,30.0,1.0659999999999998,1.017,6.44,57.42,5.57,33.0,60,1.06,71.0,3.0,Specific Gravity,All Grain,0.35,20.0,American IPA
149,653,37.85,1.065,1.008,7.54,128.09,9.45,49.21,75,1.043,65.0,1.2,Specific Gravity,All Grain,1.25,18.33,Imperial IPA
150,659,18.93,1.042,1.01,4.11,62.82,23.02,30.28,60,1.026,70.0,1.5,Specific Gravity,All Grain,0.35,21.67,American Pale Ale
151,667,20.82,1.079,1.02,7.77,50.92,25.17,28.39,60,1.058,75.0,1.5,Specific Gravity,All Grain,1.0,21.11,American Brown Ale
152,670,18.93,1.073,1.013,7.81,91.14,6.68,24.61,90,1.056,72.8,1.5,Specific Gravity,All Grain,0.35,20.0,Imperial IPA
153,671,21.77,1.069,1.013,7.27,146.37,7.46,30.28,60,1.0490000000000002,70.0,1.45,Specific Gravity,All Grain,1.0,18.33,American IPA
154,673,18.93,1.06,1.013,6.15,84.05,39.35,22.71,60,1.05,70.0,1.25,Specific Gravity,All Grain,0.35,21.11,American IPA
155,674,21.0,1.06,1.011,6.47,60.76,8.31,28.5,60,1.044,60.0,3.0,Specific Gravity,All Grain,0.5,18.0,American IPA
156,675,23.7,1.046,1.006,5.27,13.39,3.42,26.7,60,1.04,72.0,2.7,Specific Gravity,All Grain,1.0,18.0,Witbier
157,679,20.82,1.06,1.012,6.35,71.53,4.03,28.39,60,1.044,70.0,1.5,Specific Gravity,All Grain,0.75,20.0,American IPA
158,688,44.0,1.067,1.019,6.57,45.01,4.93,52.3,70,1.056,65.0,4.0,Specific Gravity,All Grain,0.75,20.0,Saison
159,690,18.93,1.057,1.011,6.04,39.93,15.04,22.98,60,1.047,65.0,1.5,Specific Gravity,All Grain,0.5,19.44,American Brown Ale
160,691,20.82,1.089,1.019,9.09,179.81,14.41,30.28,60,1.061,75.0,1.5,Specific Gravity,All Grain,0.75,17.78,Imperial IPA
161,706,19.87,1.064,1.014,6.59,110.91,12.41,26.5,90,1.048,73.0,1.25,Specific Gravity,All Grain,1.0,21.11,American IPA
162,715,20.82,1.075,1.019,7.33,67.83,9.52,26.5,60,1.0590000000000002,65.0,1.5,Specific Gravity,All Grain,1.0,21.11,American IPA
163,717,23.66,1.065,1.017,6.35,70.1,19.44,29.34,60,1.053,71.0,1.0,Specific Gravity,All Grain,1.25,22.22,American IPA
164,718,18.93,1.0759999999999998,1.017,7.65,111.59,8.54,28.39,60,1.05,65.0,1.5,Specific Gravity,All Grain,1.0,21.11,American IPA
165,723,50.0,1.05,1.01,5.22,20.56,9.19,70.0,60,1.036,75.0,2.26,Specific Gravity,All Grain,1.25,19.0,American Amber Ale
166,726,19.87,1.0659999999999998,1.011,7.22,60.38,7.27,30.28,70,1.044,70.0,1.3,Specific Gravity,All Grain,0.75,19.44,American IPA
167,731,9.46,1.057,1.01,6.19,60.94,6.0,12.3,60,1.044,70.0,1.5,Specific Gravity,All Grain,0.35,21.11,American IPA
168,732,18.93,1.063,1.014,6.34,129.23,9.82,22.71,60,1.052,60.0,1.3,Specific Gravity,All Grain,0.35,20.0,American IPA
169,738,22.71,1.067,1.012,7.23,61.09,15.92,28.39,60,1.054,70.0,1.25,Specific Gravity,All Grain,1.25,20.0,American IPA
170,743,13.25,1.057,1.018,5.09,34.35,12.21,21.5,90,1.035,70.0,1.25,Specific Gravity,All Grain,1.0,20.0,American Pale Ale
171,747,18.93,1.058,1.014,5.68,40.39,11.08,26.5,60,1.041,70.0,1.5,Specific Gravity,All Grain,0.5,20.0,American Pale Ale
172,757,20.82,1.065,1.016,6.38,92.15,6.52,26.5,60,1.051,75.0,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
173,759,30.0,1.047,1.008,5.05,40.57,9.08,30.0,60,1.047,70.0,3.0,Specific Gravity,All Grain,0.75,21.0,American Pale Ale
174,765,20.0,1.053,1.007,6.05,34.32,5.17,28.0,60,1.038,65.0,3.0,Specific Gravity,All Grain,0.35,22.0,Saison
175,767,18.93,1.046,1.013,4.32,41.87,9.51,26.5,60,1.033,70.0,1.25,Specific Gravity,All Grain,0.75,18.33,American Pale Ale
176,779,11.36,1.061,1.019,5.55,53.36,11.87,17.03,60,1.041,70.0,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
177,780,22.33,1.062,1.01,7.0,71.41,8.85,26.5,75,1.052,69.0,1.5,Specific Gravity,All Grain,0.35,18.33,American IPA
178,786,22.71,1.046,1.013,4.33,46.23,6.78,27.25,60,1.038,70.0,1.5,Specific Gravity,All Grain,0.35,15.56,American Pale Ale
179,787,20.82,1.06,1.016,5.79,27.7,21.15,26.5,90,1.047,73.0,1.35,Specific Gravity,All Grain,0.75,20.0,Irish Red Ale
180,791,20.82,1.063,1.015,6.31,60.1,44.99,28.39,60,1.046,68.0,1.33,Specific Gravity,All Grain,1.0,19.44,American Stout
181,797,41.64,1.082,1.032,6.54,55.0,7.67,53.0,90,1.064,80.0,1.5,Specific Gravity,All Grain,0.5,20.0,American IPA
182,806,22.0,1.046,1.011,4.65,46.27,4.19,26.0,60,1.039,75.0,6.42,Specific Gravity,All Grain,0.75,16.0,American Pale Ale
183,812,545.0,1.055,1.01,5.87,29.85,9.7,580.0,60,1.052,86.0,3.0,Specific Gravity,All Grain,0.35,18.0,American Pale Ale
184,815,51.1,1.053,1.015,5.21,55.41,5.17,39.75,60,1.069,75.0,1.25,Specific Gravity,All Grain,0.5,19.44,American Pale Ale
185,820,20.82,1.056,1.014,5.6,20.78,42.4,28.39,60,1.038,75.0,1.75,Specific Gravity,All Grain,1.0,20.0,American Brown Ale
